,Unnamed: 0,db_id,query,question,query_toks,query_toks_no_value,question_toks,HAVING,ORDER BY,GROUP BY,JOIN,SELECT
10,144,bike_1,"SELECT T1.name ,  T1.id FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(T2.bikes_available)  >  14 UNION SELECT name ,  id FROM station WHERE installation_date LIKE ""12/%""",What are the names and ids of all stations that have more than 14 bikes available on average or had bikes installed in December?,"['SELECT' 'T1.name' ',' 'T1.id' 'FROM' 'station' 'AS' 'T1' 'JOIN' 'status'
 'AS' 'T2' 'ON' 'T1.id' '=' 'T2.station_id' 'GROUP' 'BY' 'T2.station_id'
 'HAVING' 'avg' '(' 'T2.bikes_available' ')' '>' '14' 'UNION' 'SELECT'
 'name' ',' 'id' 'FROM' 'station' 'WHERE' 'installation_date' 'LIKE' '``'
 '12/' '%' ""''""]","['select' 't1' '.' 'name' ',' 't1' '.' 'id' 'from' 'station' 'as' 't1'
 'join' 'status' 'as' 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'station_id'
 'group' 'by' 't2' '.' 'station_id' 'having' 'avg' '(' 't2' '.'
 'bikes_available' ')' '>' 'value' 'union' 'select' 'name' ',' 'id' 'from'
 'station' 'where' 'installation_date' 'like' 'value']","['What' 'are' 'the' 'names' 'and' 'ids' 'of' 'all' 'stations' 'that'
 'have' 'more' 'than' '14' 'bikes' 'available' 'on' 'average' 'or' 'had'
 'bikes' 'installed' 'in' 'December' '?']",1,0,1,1,2
11,171,bike_1,"SELECT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(bikes_available)  >  10 EXCEPT SELECT name FROM station WHERE city  =  ""San Jose""",What are names of stations that have average bike availability above 10 and are not located in San Jose city?,"['SELECT' 'T1.name' 'FROM' 'station' 'AS' 'T1' 'JOIN' 'status' 'AS' 'T2'
 'ON' 'T1.id' '=' 'T2.station_id' 'GROUP' 'BY' 'T2.station_id' 'HAVING'
 'avg' '(' 'bikes_available' ')' '>' '10' 'EXCEPT' 'SELECT' 'name' 'FROM'
 'station' 'WHERE' 'city' '=' '``' 'San' 'Jose' ""''""]","['select' 't1' '.' 'name' 'from' 'station' 'as' 't1' 'join' 'status' 'as'
 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'station_id' 'group' 'by' 't2' '.'
 'station_id' 'having' 'avg' '(' 'bikes_available' ')' '>' 'value'
 'except' 'select' 'name' 'from' 'station' 'where' 'city' '=' 'value']","['What' 'are' 'names' 'of' 'stations' 'that' 'have' 'average' 'bike'
 'availability' 'above' '10' 'and' 'are' 'not' 'located' 'in' 'San' 'Jose'
 'city' '?']",1,0,1,1,2
12,172,bike_1,"SELECT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id  =  T2.station_id GROUP BY T2.station_id HAVING avg(bikes_available)  >  10 EXCEPT SELECT name FROM station WHERE city  =  ""San Jose""",What are the names of all stations that have more than 10 bikes available and are not located in San Jose?,"['SELECT' 'T1.name' 'FROM' 'station' 'AS' 'T1' 'JOIN' 'status' 'AS' 'T2'
 'ON' 'T1.id' '=' 'T2.station_id' 'GROUP' 'BY' 'T2.station_id' 'HAVING'
 'avg' '(' 'bikes_available' ')' '>' '10' 'EXCEPT' 'SELECT' 'name' 'FROM'
 'station' 'WHERE' 'city' '=' '``' 'San' 'Jose' ""''""]","['select' 't1' '.' 'name' 'from' 'station' 'as' 't1' 'join' 'status' 'as'
 't2' 'on' 't1' '.' 'id' '=' 't2' '.' 'station_id' 'group' 'by' 't2' '.'
 'station_id' 'having' 'avg' '(' 'bikes_available' ')' '>' 'value'
 'except' 'select' 'name' 'from' 'station' 'where' 'city' '=' 'value']","['What' 'are' 'the' 'names' 'of' 'all' 'stations' 'that' 'have' 'more'
 'than' '10' 'bikes' 'available' 'and' 'are' 'not' 'located' 'in' 'San'
 'Jose' '?']",1,0,1,1,2
13,205,bike_1,SELECT zip_code FROM weather GROUP BY zip_code HAVING avg(mean_humidity)  <  70 INTERSECT SELECT zip_code FROM trip GROUP BY zip_code HAVING count(*)  >=  100,Give me the zip code where the average mean humidity is below 70 and at least 100 trips took place.,"['SELECT' 'zip_code' 'FROM' 'weather' 'GROUP' 'BY' 'zip_code' 'HAVING'
 'avg' '(' 'mean_humidity' ')' '<' '70' 'INTERSECT' 'SELECT' 'zip_code'
 'FROM' 'trip' 'GROUP' 'BY' 'zip_code' 'HAVING' 'count' '(' '*' ')' '>'
 '=' '100']","['select' 'zip_code' 'from' 'weather' 'group' 'by' 'zip_code' 'having'
 'avg' '(' 'mean_humidity' ')' '<' 'value' 'intersect' 'select' 'zip_code'
 'from' 'trip' 'group' 'by' 'zip_code' 'having' 'count' '(' '*' ')' '>'
 '=' 'value']","['Give' 'me' 'the' 'zip' 'code' 'where' 'the' 'average' 'mean' 'humidity'
 'is' 'below' '70' 'and' 'at' 'least' '100' 'trips' 'took' 'place' '.']",2,0,2,0,2
14,206,bike_1,SELECT zip_code FROM weather GROUP BY zip_code HAVING avg(mean_humidity)  <  70 INTERSECT SELECT zip_code FROM trip GROUP BY zip_code HAVING count(*)  >=  100,What are the zip codes that have an average mean humidity below 70 and had at least 100 trips come through there?,"['SELECT' 'zip_code' 'FROM' 'weather' 'GROUP' 'BY' 'zip_code' 'HAVING'
 'avg' '(' 'mean_humidity' ')' '<' '70' 'INTERSECT' 'SELECT' 'zip_code'
 'FROM' 'trip' 'GROUP' 'BY' 'zip_code' 'HAVING' 'count' '(' '*' ')' '>'
 '=' '100']","['select' 'zip_code' 'from' 'weather' 'group' 'by' 'zip_code' 'having'
 'avg' '(' 'mean_humidity' ')' '<' 'value' 'intersect' 'select' 'zip_code'
 'from' 'trip' 'group' 'by' 'zip_code' 'having' 'count' '(' '*' ')' '>'
 '=' 'value']","['What' 'are' 'the' 'zip' 'codes' 'that' 'have' 'an' 'average' 'mean'
 'humidity' 'below' '70' 'and' 'had' 'at' 'least' '100' 'trips' 'come'
 'through' 'there' '?']",2,0,2,0,2
15,285,twitter_1,SELECT T1.name FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 GROUP BY T2.f1 HAVING count(*)  >  (SELECT count(*) FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f1 WHERE T1.name  =  'Tyler Swift'),"Find the names of the users whose number of followers is greater than that of the user named ""Tyler Swift"".","['SELECT' 'T1.name' 'FROM' 'user_profiles' 'AS' 'T1' 'JOIN' 'follows' 'AS'
 'T2' 'ON' 'T1.uid' '=' 'T2.f1' 'GROUP' 'BY' 'T2.f1' 'HAVING' 'count' '('
 '*' ')' '>' '(' 'SELECT' 'count' '(' '*' ')' 'FROM' 'user_profiles' 'AS'
 'T1' 'JOIN' 'follows' 'AS' 'T2' 'ON' 'T1.uid' '=' 'T2.f1' 'WHERE'
 'T1.name' '=' ""'Tyler"" 'Swift' ""'"" ')']","['select' 't1' '.' 'name' 'from' 'user_profiles' 'as' 't1' 'join'
 'follows' 'as' 't2' 'on' 't1' '.' 'uid' '=' 't2' '.' 'f1' 'group' 'by'
 't2' '.' 'f1' 'having' 'count' '(' '*' ')' '>' '(' 'select' 'count' '('
 '*' ')' 'from' 'user_profiles' 'as' 't1' 'join' 'follows' 'as' 't2' 'on'
 't1' '.' 'uid' '=' 't2' '.' 'f1' 'where' 't1' '.' 'name' '=' 'value' ')']","['Find' 'the' 'names' 'of' 'the' 'users' 'whose' 'number' 'of' 'followers'
 'is' 'greater' 'than' 'that' 'of' 'the' 'user' 'named' '``' 'Tyler'
 'Swift' ""''"" '.']",1,0,1,2,2
16,288,twitter_1,"SELECT T2.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f2 WHERE T1.name  =  ""Mary"" INTERSECT SELECT T2.f1 FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid  =  T2.f2 WHERE T1.name  =  ""Susan""",Find the id of users who are followed by Mary and Susan.,"['SELECT' 'T2.f1' 'FROM' 'user_profiles' 'AS' 'T1' 'JOIN' 'follows' 'AS'
 'T2' 'ON' 'T1.uid' '=' 'T2.f2' 'WHERE' 'T1.name' '=' '``' 'Mary' ""''""
 'INTERSECT' 'SELECT' 'T2.f1' 'FROM' 'user_profiles' 'AS' 'T1' 'JOIN'
 'follows' 'AS' 'T2' 'ON' 'T1.uid' '=' 'T2.f2' 'WHERE' 'T1.name' '=' '``'
 'Susan' ""''""]","['select' 't2' '.' 'f1' 'from' 'user_profiles' 'as' 't1' 'join' 'follows'
 'as' 't2' 'on' 't1' '.' 'uid' '=' 't2' '.' 'f2' 'where' 't1' '.' 'name'
 '=' 'value' 'intersect' 'select' 't2' '.' 'f1' 'from' 'user_profiles'
 'as' 't1' 'join' 'follows' 'as' 't2' 'on' 't1' '.' 'uid' '=' 't2' '.'
 'f2' 'where' 't1' '.' 'name' '=' 'value']","['Find' 'the' 'id' 'of' 'users' 'who' 'are' 'followed' 'by' 'Mary' 'and'
 'Susan' '.']",0,0,0,2,2
17,429,flight_1,"SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  ""Boeing 737-800""",Show names for all employees who do not have certificate of Boeing 737-800.,"['SELECT' 'name' 'FROM' 'Employee' 'EXCEPT' 'SELECT' 'T1.name' 'FROM'
 'Employee' 'AS' 'T1' 'JOIN' 'Certificate' 'AS' 'T2' 'ON' 'T1.eid' '='
 'T2.eid' 'JOIN' 'Aircraft' 'AS' 'T3' 'ON' 'T3.aid' '=' 'T2.aid' 'WHERE'
 'T3.name' '=' '``' 'Boeing' '737-800' ""''""]","['select' 'name' 'from' 'employee' 'except' 'select' 't1' '.' 'name'
 'from' 'employee' 'as' 't1' 'join' 'certificate' 'as' 't2' 'on' 't1' '.'
 'eid' '=' 't2' '.' 'eid' 'join' 'aircraft' 'as' 't3' 'on' 't3' '.' 'aid'
 '=' 't2' '.' 'aid' 'where' 't3' '.' 'name' '=' 'value']","['Show' 'names' 'for' 'all' 'employees' 'who' 'do' 'not' 'have'
 'certificate' 'of' 'Boeing' '737-800' '.']",0,0,0,2,2
18,430,flight_1,"SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  ""Boeing 737-800""",What are the names of all employees who are not certified to fly Boeing 737-800s?,"['SELECT' 'name' 'FROM' 'Employee' 'EXCEPT' 'SELECT' 'T1.name' 'FROM'
 'Employee' 'AS' 'T1' 'JOIN' 'Certificate' 'AS' 'T2' 'ON' 'T1.eid' '='
 'T2.eid' 'JOIN' 'Aircraft' 'AS' 'T3' 'ON' 'T3.aid' '=' 'T2.aid' 'WHERE'
 'T3.name' '=' '``' 'Boeing' '737-800' ""''""]","['select' 'name' 'from' 'employee' 'except' 'select' 't1' '.' 'name'
 'from' 'employee' 'as' 't1' 'join' 'certificate' 'as' 't2' 'on' 't1' '.'
 'eid' '=' 't2' '.' 'eid' 'join' 'aircraft' 'as' 't3' 'on' 't3' '.' 'aid'
 '=' 't2' '.' 'aid' 'where' 't3' '.' 'name' '=' 'value']","['What' 'are' 'the' 'names' 'of' 'all' 'employees' 'who' 'are' 'not'
 'certified' 'to' 'fly' 'Boeing' '737-800s' '?']",0,0,0,2,2
19,437,flight_1,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,What is the salary and name of the employee who has the most number of certificates on aircrafts with distance more than 5000?,"['SELECT' 'T1.name' 'FROM' 'Employee' 'AS' 'T1' 'JOIN' 'Certificate' 'AS'
 'T2' 'ON' 'T1.eid' '=' 'T2.eid' 'JOIN' 'Aircraft' 'AS' 'T3' 'ON' 'T3.aid'
 '=' 'T2.aid' 'WHERE' 'T3.distance' '>' '5000' 'GROUP' 'BY' 'T1.eid'
 'ORDER' 'BY' 'count' '(' '*' ')' 'DESC' 'LIMIT' '1']","['select' 't1' '.' 'name' 'from' 'employee' 'as' 't1' 'join' 'certificate'
 'as' 't2' 'on' 't1' '.' 'eid' '=' 't2' '.' 'eid' 'join' 'aircraft' 'as'
 't3' 'on' 't3' '.' 'aid' '=' 't2' '.' 'aid' 'where' 't3' '.' 'distance'
 '>' 'value' 'group' 'by' 't1' '.' 'eid' 'order' 'by' 'count' '(' '*' ')'
 'desc' 'limit' 'value']","['What' 'is' 'the' 'salary' 'and' 'name' 'of' 'the' 'employee' 'who' 'has'
 'the' 'most' 'number' 'of' 'certificates' 'on' 'aircrafts' 'with'
 'distance' 'more' 'than' '5000' '?']",0,1,1,2,1
20,438,flight_1,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,What is the salaray and name of the employee with the most certificates to fly planes more than 5000?,"['SELECT' 'T1.name' 'FROM' 'Employee' 'AS' 'T1' 'JOIN' 'Certificate' 'AS'
 'T2' 'ON' 'T1.eid' '=' 'T2.eid' 'JOIN' 'Aircraft' 'AS' 'T3' 'ON' 'T3.aid'
 '=' 'T2.aid' 'WHERE' 'T3.distance' '>' '5000' 'GROUP' 'BY' 'T1.eid'
 'ORDER' 'BY' 'count' '(' '*' ')' 'DESC' 'LIMIT' '1']","['select' 't1' '.' 'name' 'from' 'employee' 'as' 't1' 'join' 'certificate'
 'as' 't2' 'on' 't1' '.' 'eid' '=' 't2' '.' 'eid' 'join' 'aircraft' 'as'
 't3' 'on' 't3' '.' 'aid' '=' 't2' '.' 'aid' 'where' 't3' '.' 'distance'
 '>' 'value' 'group' 'by' 't1' '.' 'eid' 'order' 'by' 'count' '(' '*' ')'
 'desc' 'limit' 'value']","['What' 'is' 'the' 'salaray' 'and' 'name' 'of' 'the' 'employee' 'with'
 'the' 'most' 'certificates' 'to' 'fly' 'planes' 'more' 'than' '5000' '?']",0,1,1,2,1
21,519,allergy_1,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Milk"" INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Cat"")",Find the last name and age of the student who has allergy to both milk and cat.,"['SELECT' 'lname' ',' 'age' 'FROM' 'Student' 'WHERE' 'StuID' 'IN' '('
 'SELECT' 'StuID' 'FROM' 'Has_allergy' 'WHERE' 'Allergy' '=' '``' 'Milk'
 ""''"" 'INTERSECT' 'SELECT' 'StuID' 'FROM' 'Has_allergy' 'WHERE' 'Allergy'
 '=' '``' 'Cat' ""''"" ')']","['select' 'lname' ',' 'age' 'from' 'student' 'where' 'stuid' 'in' '('
 'select' 'stuid' 'from' 'has_allergy' 'where' 'allergy' '=' 'value'
 'intersect' 'select' 'stuid' 'from' 'has_allergy' 'where' 'allergy' '='
 'value' ')']","['Find' 'the' 'last' 'name' 'and' 'age' 'of' 'the' 'student' 'who' 'has'
 'allergy' 'to' 'both' 'milk' 'and' 'cat' '.']",0,0,0,0,3
22,520,allergy_1,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Milk"" INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  ""Cat"")",What are the last names and ages of the students who are allergic to milk and cat?,"['SELECT' 'lname' ',' 'age' 'FROM' 'Student' 'WHERE' 'StuID' 'IN' '('
 'SELECT' 'StuID' 'FROM' 'Has_allergy' 'WHERE' 'Allergy' '=' '``' 'Milk'
 ""''"" 'INTERSECT' 'SELECT' 'StuID' 'FROM' 'Has_allergy' 'WHERE' 'Allergy'
 '=' '``' 'Cat' ""''"" ')']","['select' 'lname' ',' 'age' 'from' 'student' 'where' 'stuid' 'in' '('
 'select' 'stuid' 'from' 'has_allergy' 'where' 'allergy' '=' 'value'
 'intersect' 'select' 'stuid' 'from' 'has_allergy' 'where' 'allergy' '='
 'value' ')']","['What' 'are' 'the' 'last' 'names' 'and' 'ages' 'of' 'the' 'students'
 'who' 'are' 'allergic' 'to' 'milk' 'and' 'cat' '?']",0,0,0,0,3
