,qNL,true_SQL,qSQL,true_SQL_result,qSQL_result,equality
10,What is the salary and name of the employee who has the most number of certificates on aircrafts with distance more than 5000?,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,"SELECT e.name, e.salary FROM employee e JOIN certificate c ON e.eid = c.eid JOIN aircraft a ON c.aid = a.aid WHERE a.distance > 5000 GROUP BY e.eid ORDER BY COUNT(*) DESC LIMIT 1;",[['Lisa Walker']],"[['Lisa Walker', Decimal('256481.00')]]",FALSE
11,What is the salaray and name of the employee with the most certificates to fly planes more than 5000?,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,"SELECT e.name, e.salary FROM employee e WHERE e.eid = (     SELECT c.eid     FROM certificate c     JOIN aircraft a ON c.aid = a.aid     WHERE a.distance > 5000     GROUP BY c.eid     ORDER BY COUNT(*) DESC     LIMIT 1 );",[['Lisa Walker']],"[['Lisa Walker', Decimal('256481.00')]]",FALSE
12,Find the last name and age of the student who has allergy to both milk and cat.,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT Student.LName, Student.Age FROM Student JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID WHERE Has_Allergy.Allergy IN ('milk', 'cat') GROUP BY Student.StuID HAVING COUNT(DISTINCT Has_Allergy.Allergy) = 2;","[['Apap', 18], ['Lee', 17]]",[['None']],FALSE
13,What are the last names and ages of the students who are allergic to milk and cat?,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT Student.LName, Student.Age FROM Student JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID WHERE Has_Allergy.Allergy IN ('milk', 'cat');","[['Apap', 18], ['Lee', 17]]",[['None']],FALSE
14,Find the first name and gender of the student who has allergy to milk but not cat.,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT Student.Fname, Student.Sex FROM Student JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID WHERE Has_Allergy.Allergy = 'milk' AND Student.StuID NOT IN (     SELECT StuID FROM Has_Allergy WHERE Allergy = 'cat' );","[['Mark', 'M']]",[['None']],FALSE
15,What are the first name and gender of the students who have allergy to milk but can put up with cats?,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT Student.Fname, Student.Sex FROM Student JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID JOIN Allergy_Type ON Has_Allergy.Allergy = Allergy_Type.Allergy WHERE Allergy_Type.Allergy = 'milk' AND Allergy_Type.Allergy != 'cats';","[['Mark', 'M']]",[['None']],FALSE
16,Find the average age of the students who have allergies with food and animal types.,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),"SELECT AVG(Student.Age)  FROM Student  JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID  JOIN Allergy_Type ON Has_Allergy.Allergy = Allergy_Type.Allergy  WHERE Allergy_Type.AllergyType IN ('food', 'animal');",[[Decimal('18.3333333333333333')]],[[Decimal('18.3611111111111111')]],FALSE
17,How old are the students with allergies to food and animal types on average?,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),"SELECT AVG(Student.Age)  FROM Student  JOIN Has_Allergy ON Student.StuID = Has_Allergy.StuID  JOIN Allergy_Type ON Has_Allergy.Allergy = Allergy_Type.Allergy  WHERE Allergy_Type.AllergyType IN ('food', 'animal');",[[Decimal('18.3333333333333333')]],[[Decimal('18.3611111111111111')]],FALSE
18,What are all the policy types of the customer that has the most policies listed?,SELECT DISTINCT t3.policy_type_code FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id JOIN available_policies AS t3 ON t2.policy_id  =  t3.policy_id WHERE t1.customer_name  =  (SELECT t1.customer_name FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id GROUP BY t1.customer_name ORDER BY count(*) DESC LIMIT 1),SELECT ap.policy_type_code FROM Available_Policies ap JOIN Customers_Policies cp ON ap.Policy_ID = cp.Policy_ID WHERE cp.Customer_ID = (     SELECT Customer_ID     FROM Customers_Policies     GROUP BY Customer_ID     ORDER BY COUNT(Policy_ID) DESC     LIMIT 1 );,"[['Mortgage Insurance            '], ['Property Insurance            ']]","[['Mortgage Insurance            '], ['Mortgage Insurance            '], ['Property Insurance            ']]",FALSE
19,Show the medicine names and trade names that cannot interact with the enzyme with product 'Heme'.,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'","SELECT m.name, m.Trade_Name FROM medicine m WHERE m.id NOT IN (     SELECT mei.medicine_id     FROM medicine_enzyme_interaction mei     JOIN enzyme e ON mei.enzyme_id = e.id     WHERE e.Product = 'Heme' );","[['Aripiprazole', 'Abilify'], ['Olanzapine', 'Zyprexa'], ['Clozapine', 'Clozaril'], ['Remoxipride', 'Roxiam'], ['Blonanserin', 'Lonasen'], ['Asenapine', 'Saphris'], ['Lurasidone', 'Latuda'], ['Carpipramine', 'Prazinil'], ['Perospirone', 'Lullan'], ['Iloperidone', 'Fanapt'], ['Paliperidone', 'Invega'], ['Sertindole', 'Serdolect'], ['Melperone', 'Buronil'], ['Sulpiride', 'Sulpirid'], ['Risperidone', 'Risperdal'], ['Amisulpride', 'Solian'], ['Zotepine', 'Nipolept'], ['Clocapramine', 'Clofekton'], ['Mosapramine', 'Cremin'], ['Quetiapine', 'Seroquel']]","[['Amisulpride', 'Solian'], ['Aripiprazole', 'Abilify'], ['Asenapine', 'Saphris'], ['Blonanserin', 'Lonasen'], ['Carpipramine', 'Prazinil'], ['Clocapramine', 'Clofekton'], ['Clozapine', 'Clozaril'], ['Iloperidone', 'Fanapt'], ['Lurasidone', 'Latuda'], ['Melperone', 'Buronil'], ['Mosapramine', 'Cremin'], ['Olanzapine', 'Zyprexa'], ['Paliperidone', 'Invega'], ['Perospirone', 'Lullan'], ['Quetiapine', 'Seroquel'], ['Remoxipride', 'Roxiam'], ['Risperidone', 'Risperdal'], ['Sertindole', 'Serdolect'], ['Sulpiride', 'Sulpirid'], ['Ziprasidone', 'Geodon'], ['Zotepine', 'Nipolept']]",FALSE
20,What are the medicine and trade names that cannot interact with the enzyme with the product 'Heme'?,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'","SELECT m.name, m.Trade_Name FROM medicine m WHERE m.id NOT IN (     SELECT mei.medicine_id     FROM medicine_enzyme_interaction mei     JOIN enzyme e ON mei.enzyme_id = e.id     WHERE e.Product = 'Heme' );","[['Aripiprazole', 'Abilify'], ['Olanzapine', 'Zyprexa'], ['Clozapine', 'Clozaril'], ['Remoxipride', 'Roxiam'], ['Blonanserin', 'Lonasen'], ['Asenapine', 'Saphris'], ['Lurasidone', 'Latuda'], ['Carpipramine', 'Prazinil'], ['Perospirone', 'Lullan'], ['Iloperidone', 'Fanapt'], ['Paliperidone', 'Invega'], ['Sertindole', 'Serdolect'], ['Melperone', 'Buronil'], ['Sulpiride', 'Sulpirid'], ['Risperidone', 'Risperdal'], ['Amisulpride', 'Solian'], ['Zotepine', 'Nipolept'], ['Clocapramine', 'Clofekton'], ['Mosapramine', 'Cremin'], ['Quetiapine', 'Seroquel']]","[['Amisulpride', 'Solian'], ['Aripiprazole', 'Abilify'], ['Asenapine', 'Saphris'], ['Blonanserin', 'Lonasen'], ['Carpipramine', 'Prazinil'], ['Clocapramine', 'Clofekton'], ['Clozapine', 'Clozaril'], ['Iloperidone', 'Fanapt'], ['Lurasidone', 'Latuda'], ['Melperone', 'Buronil'], ['Mosapramine', 'Cremin'], ['Olanzapine', 'Zyprexa'], ['Paliperidone', 'Invega'], ['Perospirone', 'Lullan'], ['Quetiapine', 'Seroquel'], ['Remoxipride', 'Roxiam'], ['Risperidone', 'Risperdal'], ['Sertindole', 'Serdolect'], ['Sulpiride', 'Sulpirid'], ['Ziprasidone', 'Geodon'], ['Zotepine', 'Nipolept']]",FALSE
21,Find the pixels of the screen modes that are used by both phones with full accreditation types and phones with Provisional accreditation types.,SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Provisional' INTERSECT SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Full',"SELECT DISTINCT s.Pixels FROM screen_mode AS s JOIN phone AS p ON s.Graphics_mode = p.screen_mode WHERE p.Accreditation_type IN ('Full', 'Provisional');","[['640 _ 200'], ['160 _ 256'], ['320 _ 256']]","[['160 _ 256'], ['320 _ 200'], ['320 _ 256'], ['640 _ 200']]",FALSE
22,What are the names of countries that have both players with position forward and players with position defender?,SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',SELECT DISTINCT country.Country_name FROM country JOIN match_season ON country.Country_id = match_season.Country WHERE match_season.Position = 'forward' AND country.Country_id IN (     SELECT country.Country_id     FROM country     JOIN match_season ON country.Country_id = match_season.Country     WHERE match_season.Position = 'defender' );,[['United States']],[['None']],FALSE
23,"Return the names of countries that have players that play the Forward position, as well as players who play the Defender position.",SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',"SELECT DISTINCT country.Country_name FROM country JOIN match_season ON country.Country_id = match_season.Country WHERE match_season.Position IN ('Forward', 'Defender');",[['United States']],"[['Indonesia'], ['Ireland'], ['Isle of Man'], ['United States']]",FALSE
24,"Which apartments have bookings with both status codes ""Provisional"" and ""Confirmed""? Give me the apartment numbers.",SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Confirmed' INTERSECT SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Provisional',"SELECT DISTINCT a.apt_number FROM Apartments a JOIN Apartment_Bookings ab ON a.apt_id = ab.apt_id WHERE ab.booking_status_code IN ('Provisional', 'Confirmed') GROUP BY a.apt_id, a.apt_number HAVING COUNT(DISTINCT ab.booking_status_code) = 2;","[['Apt. 859  '], ['Suite 693 '], ['Suite 749 ']]","[['Apt. 859  '], ['Suite 693 '], ['Suite 749 ']]",TRUE
25,Show the apartment numbers of apartments with unit status availability of both 0 and 1.,"SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  false  
INTERSECT 
SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  true",SELECT DISTINCT a.apt_number FROM Apartments a JOIN View_Unit_Status vus ON a.apt_id = vus.apt_id WHERE a.apt_id IN (   SELECT apt_id   FROM View_Unit_Status   WHERE available_yn = TRUE ) AND a.apt_id IN (   SELECT apt_id   FROM View_Unit_Status   WHERE available_yn = FALSE );,"[['Apt. 411  '], ['Apt. 837  ']]","[['Apt. 411  '], ['Apt. 837  ']]",TRUE
26,What are the id and name of the stadium where the most injury accidents happened?,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","SELECT s.id, s.name FROM stadium s JOIN game g ON s.id = g.stadium_id JOIN injury_accident ia ON g.id = ia.game_id GROUP BY s.id ORDER BY COUNT(*) DESC LIMIT 1;","[[10, 'Louisiana Superdome']]","[[10, 'Louisiana Superdome']]",TRUE
27,Find the id and name of the stadium where the largest number of injury accidents occurred.,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","SELECT stadium.id, stadium.name FROM stadium JOIN game ON stadium.id = game.stadium_id JOIN injury_accident ON game.id = injury_accident.game_id GROUP BY stadium.id ORDER BY COUNT(injury_accident.id) DESC LIMIT 1;","[[10, 'Louisiana Superdome']]","[[10, 'Louisiana Superdome']]",TRUE
28,List the name of the stadium where both the player 'Walter Samuel' and the player 'Thiago Motta' got injured.,SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Walter Samuel' INTERSECT SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Thiago Motta',"SELECT DISTINCT s.name FROM stadium s JOIN game g ON s.id = g.stadium_id JOIN injury_accident ia ON g.id = ia.game_id WHERE ia.Player IN ('Walter Samuel', 'Thiago Motta') GROUP BY s.name HAVING COUNT(DISTINCT ia.Player) = 2;",[['Bank of America Stadium']],[['Bank of America Stadium']],TRUE
29,Find the total number of students and total number of instructors for each department.,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name","SELECT department.dept_name, COUNT(DISTINCT student.ID) AS total_students, COUNT(DISTINCT instructor.ID) AS total_instructors FROM department LEFT JOIN student ON department.dept_name = student.dept_name LEFT JOIN instructor ON department.dept_name = instructor.dept_name GROUP BY department.dept_name;","[[1, 2, 'Biology'], [1, 4, 'Cybernetics'], [1, 4, 'English'], [1, 1, 'Finance'], [1, 6, 'Statistics']]","[['Accounting', 0, 4], ['Astronomy', 0, 1], ['Athletics', 0, 5], ['Biology', 1, 2], ['Civil Eng.', 1, 0], ['Comp. Sci.', 0, 2], ['Cybernetics', 1, 4], ['Elec. Eng.', 0, 4], ['English', 1, 4], ['Finance', 1, 1], ['Geology', 0, 1], ['History', 2, 0], ['Languages', 0, 3], ['Marketing', 0, 4], ['Math', 2, 0], ['Mech. Eng.', 0, 2], ['Physics', 0, 2], ['Pol. Sci.', 0, 3], ['Psychology', 0, 2], ['Statistics', 1, 6]]",FALSE
30,How many students and instructors are in each department?,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name","SELECT department.dept_name, COUNT(DISTINCT student.ID) AS num_students, COUNT(DISTINCT instructor.ID) AS num_instructors FROM department LEFT JOIN student ON department.dept_name = student.dept_name LEFT JOIN instructor ON department.dept_name = instructor.dept_name GROUP BY department.dept_name;","[[1, 2, 'Biology'], [1, 4, 'Cybernetics'], [1, 4, 'English'], [1, 1, 'Finance'], [1, 6, 'Statistics']]","[['Accounting', 0, 4], ['Astronomy', 0, 1], ['Athletics', 0, 5], ['Biology', 1, 2], ['Civil Eng.', 1, 0], ['Comp. Sci.', 0, 2], ['Cybernetics', 1, 4], ['Elec. Eng.', 0, 4], ['English', 1, 4], ['Finance', 1, 1], ['Geology', 0, 1], ['History', 2, 0], ['Languages', 0, 3], ['Marketing', 0, 4], ['Math', 2, 0], ['Mech. Eng.', 0, 2], ['Physics', 0, 2], ['Pol. Sci.', 0, 3], ['Psychology', 0, 2], ['Statistics', 1, 6]]",FALSE
31,Show all product names and the number of customers having an order on each product.,"SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name","SELECT P.product_name, COUNT(DISTINCT O.customer_id) AS number_of_customers FROM Products P JOIN Order_Items OI ON P.product_id = OI.product_id JOIN Orders O ON OI.order_id = O.order_id GROUP BY P.product_name;","[['TV', 1], ['Harry Potter 3', 4], ['Harry Potter 2', 1], ['Arts', 2], ['Learning English', 1], ['Harry Potter 4', 1], ['Fans', 1], ['Chocolate', 1], ['Hard Drive', 2], ['Beer Menus', 1]]","[['Arts', 2], ['Beer Menus', 1], ['Chocolate', 1], ['Fans', 1], ['Hard Drive', 2], ['Harry Potter 2', 1], ['Harry Potter 3', 3], ['Harry Potter 4', 1], ['Learning English', 1], ['TV', 1]]",FALSE
32,Show the church names for the weddings of all people older than 30.,SELECT T4.name FROM wedding AS T1 JOIN people AS T2 ON T1.male_id  =  T2.people_id JOIN people AS T3 ON T1.female_id  =  T3.people_id JOIN church AS T4 ON T4.church_id  =  T1.church_id WHERE T2.age  >  30 OR T3.age  >  30,SELECT church.Name  FROM church  JOIN wedding ON church.Church_ID = wedding.Church_ID  JOIN people ON wedding.Male_ID = people.People_ID OR wedding.Female_ID = people.People_ID  WHERE people.Age > 30;,"[['Pure Church of Christ'], ['Church of Christ (Parrishite)']]","[['Pure Church of Christ'], ['Pure Church of Christ'], ['Church of Christ (Parrishite)'], ['Church of Christ (Parrishite)']]",FALSE
33,Return the names of artists and the themes of their exhibitions that had a ticket price higher than average.,"SELECT T1.theme ,  T2.name FROM exhibition AS T1 JOIN artist AS T2 ON T1.artist_id  =  T2.artist_id WHERE T1.ticket_price  >  (SELECT avg(ticket_price) FROM exhibition)","SELECT artist.Name, exhibition.Theme FROM artist JOIN exhibition ON artist.Artist_ID = exhibition.Artist_ID WHERE exhibition.Ticket_Price > (SELECT AVG(Ticket_Price) FROM exhibition);","[['Santa Claus', 'Vijay Singh'], ['Christmas stocking', 'John Daly'], ['Spring', 'Nick Price']]","[['Vijay Singh', 'Santa Claus'], ['John Daly', 'Christmas stocking'], ['Nick Price', 'Spring']]",FALSE
