,true_SQL,qSQL,true_SQL_result,qSQL_result,equality
20,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'","SELECT m.name, m.Trade_Name FROM medicine m WHERE m.id NOT IN (     SELECT mei.medicine_id     FROM medicine_enzyme_interaction mei     JOIN enzyme e ON mei.enzyme_id = e.id     WHERE e.Product = 'Heme' );","[['Aripiprazole', 'Abilify'], ['Olanzapine', 'Zyprexa'], ['Clozapine', 'Clozaril'], ['Remoxipride', 'Roxiam'], ['Blonanserin', 'Lonasen'], ['Asenapine', 'Saphris'], ['Lurasidone', 'Latuda'], ['Carpipramine', 'Prazinil'], ['Perospirone', 'Lullan'], ['Iloperidone', 'Fanapt'], ['Paliperidone', 'Invega'], ['Sertindole', 'Serdolect'], ['Melperone', 'Buronil'], ['Sulpiride', 'Sulpirid'], ['Risperidone', 'Risperdal'], ['Amisulpride', 'Solian'], ['Zotepine', 'Nipolept'], ['Clocapramine', 'Clofekton'], ['Mosapramine', 'Cremin'], ['Quetiapine', 'Seroquel']]","[['Amisulpride', 'Solian'], ['Aripiprazole', 'Abilify'], ['Asenapine', 'Saphris'], ['Blonanserin', 'Lonasen'], ['Carpipramine', 'Prazinil'], ['Clocapramine', 'Clofekton'], ['Clozapine', 'Clozaril'], ['Iloperidone', 'Fanapt'], ['Lurasidone', 'Latuda'], ['Melperone', 'Buronil'], ['Mosapramine', 'Cremin'], ['Olanzapine', 'Zyprexa'], ['Paliperidone', 'Invega'], ['Perospirone', 'Lullan'], ['Quetiapine', 'Seroquel'], ['Remoxipride', 'Roxiam'], ['Risperidone', 'Risperdal'], ['Sertindole', 'Serdolect'], ['Sulpiride', 'Sulpirid'], ['Ziprasidone', 'Geodon'], ['Zotepine', 'Nipolept']]",FALSE
21,SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Provisional' INTERSECT SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Full',"SELECT DISTINCT screen_mode.Pixels FROM screen_mode JOIN phone ON screen_mode.Graphics_mode = phone.screen_mode WHERE phone.Accreditation_type IN ('Full', 'Provisional');","[['640 _ 200'], ['160 _ 256'], ['320 _ 256']]","[['160 _ 256'], ['320 _ 200'], ['320 _ 256'], ['640 _ 200']]",FALSE
22,SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',SELECT DISTINCT c.Country_name FROM country c JOIN match_season ms1 ON c.Country_id = ms1.Country JOIN match_season ms2 ON c.Country_id = ms2.Country WHERE ms1.Position = 'forward' AND ms2.Position = 'defender';,[['United States']],[['None']],FALSE
23,SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',"SELECT DISTINCT country.Country_name FROM country JOIN match_season ON country.Country_id = match_season.Country WHERE match_season.Position IN ('Forward', 'Defender');",[['United States']],"[['Indonesia'], ['Ireland'], ['Isle of Man'], ['United States']]",FALSE
24,SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Confirmed' INTERSECT SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Provisional',"SELECT DISTINCT a.apt_number FROM Apartments a JOIN Apartment_Bookings ab ON a.apt_id = ab.apt_id WHERE ab.booking_status_code IN ('Provisional', 'Confirmed') GROUP BY a.apt_id, a.apt_number HAVING COUNT(DISTINCT ab.booking_status_code) = 2;","[['Apt. 859  '], ['Suite 693 '], ['Suite 749 ']]","[['Apt. 859  '], ['Suite 693 '], ['Suite 749 ']]",TRUE
25,"SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  false  
INTERSECT 
SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  true",SELECT DISTINCT a.apt_number FROM Apartments a JOIN View_Unit_Status vus ON a.apt_id = vus.apt_id WHERE a.apt_id IN (     SELECT apt_id     FROM View_Unit_Status     WHERE available_yn = TRUE ) AND a.apt_id IN (     SELECT apt_id     FROM View_Unit_Status     WHERE available_yn = FALSE );,"[['Apt. 411  '], ['Apt. 837  ']]","[['Apt. 411  '], ['Apt. 837  ']]",TRUE
26,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","SELECT stadium.id, stadium.name FROM stadium JOIN game ON stadium.id = game.stadium_id JOIN injury_accident ON game.id = injury_accident.game_id GROUP BY stadium.id ORDER BY COUNT(injury_accident.id) DESC LIMIT 1;","[[10, 'Louisiana Superdome']]","[[10, 'Louisiana Superdome']]",TRUE
27,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","SELECT s.id, s.name FROM stadium s JOIN game g ON s.id = g.stadium_id JOIN injury_accident ia ON g.id = ia.game_id GROUP BY s.id ORDER BY COUNT(ia.id) DESC LIMIT 1;","[[10, 'Louisiana Superdome']]","[[10, 'Louisiana Superdome']]",TRUE
28,SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Walter Samuel' INTERSECT SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Thiago Motta',"SELECT DISTINCT s.name FROM stadium s JOIN game g ON s.id = g.stadium_id JOIN injury_accident i ON g.id = i.game_id WHERE i.Player IN ('Walter Samuel', 'Thiago Motta') GROUP BY s.name HAVING COUNT(DISTINCT i.Player) = 2;",[['Bank of America Stadium']],[['Bank of America Stadium']],TRUE
29,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name","SELECT department.dept_name, COUNT(DISTINCT student.ID) AS total_students, COUNT(DISTINCT instructor.ID) AS total_instructors FROM department LEFT JOIN student ON department.dept_name = student.dept_name LEFT JOIN instructor ON department.dept_name = instructor.dept_name GROUP BY department.dept_name;","[[1, 2, 'Biology'], [1, 4, 'Cybernetics'], [1, 4, 'English'], [1, 1, 'Finance'], [1, 6, 'Statistics']]","[['Accounting', 0, 4], ['Astronomy', 0, 1], ['Athletics', 0, 5], ['Biology', 1, 2], ['Civil Eng.', 1, 0], ['Comp. Sci.', 0, 2], ['Cybernetics', 1, 4], ['Elec. Eng.', 0, 4], ['English', 1, 4], ['Finance', 1, 1], ['Geology', 0, 1], ['History', 2, 0], ['Languages', 0, 3], ['Marketing', 0, 4], ['Math', 2, 0], ['Mech. Eng.', 0, 2], ['Physics', 0, 2], ['Pol. Sci.', 0, 3], ['Psychology', 0, 2], ['Statistics', 1, 6]]",FALSE
30,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name","SELECT department.dept_name, COUNT(DISTINCT student.ID) AS num_students, COUNT(DISTINCT instructor.ID) AS num_instructors FROM department LEFT JOIN student ON department.dept_name = student.dept_name LEFT JOIN instructor ON department.dept_name = instructor.dept_name GROUP BY department.dept_name;","[[1, 2, 'Biology'], [1, 4, 'Cybernetics'], [1, 4, 'English'], [1, 1, 'Finance'], [1, 6, 'Statistics']]","[['Accounting', 0, 4], ['Astronomy', 0, 1], ['Athletics', 0, 5], ['Biology', 1, 2], ['Civil Eng.', 1, 0], ['Comp. Sci.', 0, 2], ['Cybernetics', 1, 4], ['Elec. Eng.', 0, 4], ['English', 1, 4], ['Finance', 1, 1], ['Geology', 0, 1], ['History', 2, 0], ['Languages', 0, 3], ['Marketing', 0, 4], ['Math', 2, 0], ['Mech. Eng.', 0, 2], ['Physics', 0, 2], ['Pol. Sci.', 0, 3], ['Psychology', 0, 2], ['Statistics', 1, 6]]",FALSE
31,"SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name","SELECT      P.product_name,      COUNT(DISTINCT O.customer_id) AS number_of_customers FROM      Products P JOIN      Order_Items OI ON P.product_id = OI.product_id JOIN      Orders O ON OI.order_id = O.order_id GROUP BY      P.product_name;","[['TV', 1], ['Harry Potter 3', 4], ['Harry Potter 2', 1], ['Arts', 2], ['Learning English', 1], ['Harry Potter 4', 1], ['Fans', 1], ['Chocolate', 1], ['Hard Drive', 2], ['Beer Menus', 1]]","[['Arts', 2], ['Beer Menus', 1], ['Chocolate', 1], ['Fans', 1], ['Hard Drive', 2], ['Harry Potter 2', 1], ['Harry Potter 3', 3], ['Harry Potter 4', 1], ['Learning English', 1], ['TV', 1]]",FALSE
32,SELECT T4.name FROM wedding AS T1 JOIN people AS T2 ON T1.male_id  =  T2.people_id JOIN people AS T3 ON T1.female_id  =  T3.people_id JOIN church AS T4 ON T4.church_id  =  T1.church_id WHERE T2.age  >  30 OR T3.age  >  30,SELECT church.Name  FROM church  JOIN wedding ON church.Church_ID = wedding.Church_ID  JOIN people ON wedding.Male_ID = people.People_ID OR wedding.Female_ID = people.People_ID  WHERE people.Age > 30;,"[['Pure Church of Christ'], ['Church of Christ (Parrishite)']]","[['Pure Church of Christ'], ['Pure Church of Christ'], ['Church of Christ (Parrishite)'], ['Church of Christ (Parrishite)']]",FALSE
33,"SELECT T1.theme ,  T2.name FROM exhibition AS T1 JOIN artist AS T2 ON T1.artist_id  =  T2.artist_id WHERE T1.ticket_price  >  (SELECT avg(ticket_price) FROM exhibition)","SELECT artist.Name, exhibition.Theme FROM artist JOIN exhibition ON artist.Artist_ID = exhibition.Artist_ID WHERE exhibition.Ticket_Price > (SELECT AVG(Ticket_Price) FROM exhibition);","[['Santa Claus', 'Vijay Singh'], ['Christmas stocking', 'John Daly'], ['Spring', 'Nick Price']]","[['Vijay Singh', 'Santa Claus'], ['John Daly', 'Christmas stocking'], ['Nick Price', 'Spring']]",FALSE
34,SELECT T3.name FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id JOIN artist AS T3 ON T3.artist_id  =  T2.artist_id GROUP BY T3.artist_id HAVING avg(T1.attendance)  >  200,SELECT artist.Name FROM artist JOIN exhibition ON artist.Artist_ID = exhibition.Artist_ID JOIN exhibition_record ON exhibition.Exhibition_ID = exhibition_record.Exhibition_ID GROUP BY artist.Name HAVING AVG(exhibition_record.Attendance) > 200;,"[['Jeff Sluman'], ['Nick Price'], ['John Daly'], ['Vijay Singh']]","[['Jeff Sluman'], ['John Daly'], ['Vijay Singh'], ['Nick Price']]",FALSE
35,"SELECT T1.title 
FROM item AS T1 JOIN review AS T2 ON T1.i_id  =  T2.i_id 
WHERE T2.rank  >  3 
INTERSECT 
SELECT T1.title 
FROM item AS T1 JOIN review AS T2 ON T1.i_id  =  T2.i_id 
GROUP BY T1.title 
HAVING avg(T2.rating)  >  5",SELECT item.title FROM item JOIN review ON item.i_id = review.i_id WHERE review.rank > 3 GROUP BY item.title HAVING AVG(review.rating) > 5;,"[['cup'], ['comb']]","[['comb'], ['cup']]",FALSE
36,SELECT T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  >  (SELECT avg(balance) FROM checking) INTERSECT SELECT T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  <  (SELECT avg(balance) FROM savings),SELECT A.name FROM ACCOUNTS A JOIN CHECKING C ON A.custid = C.custid JOIN SAVINGS S ON A.custid = S.custid WHERE C.balance > (SELECT AVG(balance) FROM CHECKING)  AND S.balance < (SELECT AVG(balance) FROM SAVINGS);,"[['Weeks'], ['Granger'], ['Brown']]","[['Brown'], ['Weeks'], ['Granger']]",FALSE
37,SELECT T2.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid WHERE T1.name IN (SELECT T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  >  (SELECT avg(balance) FROM savings)),"SELECT C.custid, C.balance FROM CHECKING C JOIN SAVINGS S ON C.custid = S.custid WHERE S.balance > (SELECT AVG(balance) FROM SAVINGS);",[[2000.0]],"[[2.0, 2000.0]]",FALSE
