,true_SQL,qSQL,true_SQL_result,qSQL_result
18,SELECT name FROM Employee EXCEPT SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.name  =  'Boeing 737-800',SELECT name FROM employees WHERE certification <> 'Boeing 737-800';,"[['Joseph Thompson']
 ['Karen Scott']
 ['Angela Martinez']
 ['Jennifer Thomas']
 ['Patricia Jones']
 ['Eric Cooper']
 ['Linda Davis']
 ['Chad Stewart']
 ['Robert Brown']
 ['William Moore']
 ['Haywood Kelly']
 ['Richard Jackson']
 ['Donald King']
 ['William Jones']
 ['William Ward']
 ['Michael Miller']
 ['Lawrence Sperry']
 ['David Anderson']
 ['Elizabeth Taylor']
 ['Barbara Wilson']
 ['Milo Brooks']
 ['Dorthy Lewis']]",[['Error']]
19,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,"SELECT e.name, e.salary FROM employees e JOIN certificates c ON e.employee_id = c.employee_id JOIN aircrafts a ON c.aircraft_id = a.aircraft_id WHERE a.distance > 5000 GROUP BY e.employee_id, e.name, e.salary ORDER BY COUNT(c.certificate_id) DESC LIMIT 1;",[['Lisa Walker']],[['Error']]
20,SELECT T1.name FROM Employee AS T1 JOIN Certificate AS T2 ON T1.eid  =  T2.eid JOIN Aircraft AS T3 ON T3.aid  =  T2.aid WHERE T3.distance  >  5000 GROUP BY T1.eid ORDER BY count(*) DESC LIMIT 1,"SELECT salary, name FROM employees WHERE certificates > (SELECT COUNT(*)                        FROM flights                        WHERE distance > 5000) ORDER BY certificates DESC LIMIT 1;",[['Lisa Walker']],[['Error']]
21,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT last_name, age FROM students WHERE allergy = 'milk' AND allergy = 'cat' ORDER BY last_name DESC LIMIT 1;","[['Apap' 18]
 ['Lee' 17]]",[['Error']]
22,"SELECT lname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' INTERSECT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT last_name, age FROM students WHERE allergic_to_milk = true AND allergic_to_cat = true;","[['Apap' 18]
 ['Lee' 17]]",[['Error']]
23,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT first_name, gender FROM students WHERE allergy = 'milk' AND allergy != 'cat' LIMIT 1;",[['Mark' 'M']],[['Error']]
24,"SELECT fname ,  sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_allergy WHERE Allergy  =  'Milk' EXCEPT SELECT StuID FROM Has_allergy WHERE Allergy  =  'Cat')","SELECT first_name, gender FROM students WHERE allergy = 'milk' AND tolerance = 'cats';",[['Mark' 'M']],[['Error']]
25,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),SELECT AVG(age)  FROM students  WHERE allergies LIKE '%food%' AND allergies LIKE '%animal%';,[[Decimal('18.3333333333333333')]],[['Error']]
26,SELECT avg(age) FROM Student WHERE StuID IN ( SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'food' INTERSECT SELECT T1.StuID FROM Has_allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy  =  T2.Allergy WHERE T2.allergytype  =  'animal'),SELECT AVG(age)  FROM students  WHERE allergies LIKE '%food%'  AND allergies LIKE '%animal%';,[[Decimal('18.3333333333333333')]],[['Error']]
27,SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' EXCEPT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',SELECT t.name FROM tracks t JOIN playlist_track pt ON t.track_id = pt.track_id JOIN playlists p ON pt.playlist_id = p.playlist_id WHERE p.name = 'Movies' AND t.track_id NOT IN (     SELECT t.track_id     FROM tracks t     JOIN playlist_track pt ON t.track_id = pt.track_id     JOIN playlists p ON pt.playlist_id = p.playlist_id     WHERE p.name = 'Music' ),[],[['Error']]
28,SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' EXCEPT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',SELECT track_name FROM tracks WHERE playlist_id = (SELECT playlist_id FROM playlists WHERE playlist_name = 'Movies') AND track_id NOT IN (SELECT track_id FROM playlists WHERE playlist_name = 'Music');,[],[['Error']]
29,SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' INTERSECT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',SELECT name  FROM tracks  WHERE playlist_id = (SELECT playlist_id                       FROM playlists                       WHERE name = 'Movies')  AND playlist_id = (SELECT playlist_id                     FROM playlists                     WHERE name = 'Music');,[],[['Error']]
30,SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Movies' INTERSECT SELECT T1.name FROM tracks AS T1 JOIN playlist_tracks AS T2 ON T1.id  =  T2.track_id JOIN playlists AS T3 ON T2.playlist_id  =  T3.id WHERE T3.name  =  'Music',SELECT track_name  FROM tracks  WHERE playlist_name = 'Movies'  INTERSECT  SELECT track_name  FROM tracks  WHERE playlist_name = 'Music';,[],[['Error']]
31,SELECT DISTINCT t3.policy_type_code FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id JOIN available_policies AS t3 ON t2.policy_id  =  t3.policy_id WHERE t1.customer_name  =  (SELECT t1.customer_name FROM customers AS t1 JOIN customers_policies AS t2 ON t1.customer_id  =  t2.customer_id GROUP BY t1.customer_name ORDER BY count(*) DESC LIMIT 1),SELECT policy_type FROM customers WHERE num_policies = (SELECT MAX(num_policies) FROM customers),"[['Mortgage Insurance            ']
 ['Property Insurance            ']]",[['Error']]
32,SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id  =  t2.customer_id JOIN services AS t3 ON t2.service_id  =  t3.service_id WHERE t3.service_name  =  'Close a policy' INTERSECT SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id  =  t2.customer_id JOIN services AS t3 ON t2.service_id  =  t3.service_id WHERE t3.service_name  =  'New policy application',SELECT c.name FROM customers c WHERE EXISTS (     SELECT 1     FROM services s     WHERE s.customer_id = c.id     AND s.service_name = 'Close a policy' ) AND EXISTS (     SELECT 1     FROM services s     WHERE s.customer_id = c.id     AND s.service_name = 'New policy application' );,[],[['Error']]
33,SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id  =  t2.customer_id JOIN services AS t3 ON t2.service_id  =  t3.service_id WHERE t3.service_name  =  'Close a policy' INTERSECT SELECT t1.customer_name FROM customers AS t1 JOIN first_notification_of_loss AS t2 ON t1.customer_id  =  t2.customer_id JOIN services AS t3 ON t2.service_id  =  t3.service_id WHERE t3.service_name  =  'New policy application',SELECT customer_name FROM customers WHERE customer_id IN (     SELECT customer_id     FROM services     WHERE service_name = 'Close a policy' ) AND customer_id IN (     SELECT customer_id     FROM services     WHERE service_name = 'Upgrade a policy' );,[],"[['America Jaskolski']
 ['Ellsworth Paucek']
 ['Mrs. Hanna Willms']
 ['Dr. Diana Rath']
 ['Selena Gerhold']
 ['Dayana Robel']
 ['Mr. Edwardo Blanda I']
 ['Mr. Randal Lynch III']
 ['Mrs. Liza Heller V']
 ['Mrs. Lilly Graham III']
 ['Miss Felicita Reichel']
 ['Sydnie Friesen']
 ['David Ross']
 ['Cai Zhang']
 ['Jay Chou']]"
34,"SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'inhibitor' INTERSECT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'activitor'","SELECT medicine_name, trade_name FROM medicine_table WHERE interaction_type = 'inhibitor' AND medicine_name IN (     SELECT medicine_name     FROM medicine_table     WHERE interaction_type = 'activator' )",[],[['Error']]
35,"SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'inhibitor' INTERSECT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id WHERE interaction_type  =  'activitor'","SELECT medicine_name, trade_name FROM medicine_table WHERE interaction_type = 'inhibitor' OR interaction_type = 'activator' AND interaction_target = 'enzymes';",[],[['Error']]
36,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'","SELECT medicine_name, trade_name FROM medicine_table WHERE medicine_id NOT IN (     SELECT medicine_id     FROM interaction_table     WHERE enzyme_product = 'Heme' )","[['Aripiprazole' 'Abilify']
 ['Olanzapine' 'Zyprexa']
 ['Clozapine' 'Clozaril']
 ['Remoxipride' 'Roxiam']
 ['Blonanserin' 'Lonasen']
 ['Asenapine' 'Saphris']
 ['Lurasidone' 'Latuda']
 ['Carpipramine' 'Prazinil']
 ['Perospirone' 'Lullan']
 ['Iloperidone' 'Fanapt']
 ['Paliperidone' 'Invega']
 ['Sertindole' 'Serdolect']
 ['Melperone' 'Buronil']
 ['Sulpiride' 'Sulpirid']
 ['Risperidone' 'Risperdal']
 ['Amisulpride' 'Solian']
 ['Zotepine' 'Nipolept']
 ['Clocapramine' 'Clofekton']
 ['Mosapramine' 'Cremin']
 ['Quetiapine' 'Seroquel']]",[['Error']]
37,"SELECT name ,  trade_name FROM medicine EXCEPT SELECT T1.name ,  T1.trade_name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id JOIN enzyme AS T3 ON T3.id  =  T2.enzyme_id WHERE T3.product  =  'Protoporphyrinogen IX'","SELECT medicine_name, trade_name FROM medicine_table WHERE enzyme_interaction NOT LIKE '%Heme%';","[['Aripiprazole' 'Abilify']
 ['Olanzapine' 'Zyprexa']
 ['Clozapine' 'Clozaril']
 ['Remoxipride' 'Roxiam']
 ['Blonanserin' 'Lonasen']
 ['Asenapine' 'Saphris']
 ['Lurasidone' 'Latuda']
 ['Carpipramine' 'Prazinil']
 ['Perospirone' 'Lullan']
 ['Iloperidone' 'Fanapt']
 ['Paliperidone' 'Invega']
 ['Sertindole' 'Serdolect']
 ['Melperone' 'Buronil']
 ['Sulpiride' 'Sulpirid']
 ['Risperidone' 'Risperdal']
 ['Amisulpride' 'Solian']
 ['Zotepine' 'Nipolept']
 ['Clocapramine' 'Clofekton']
 ['Mosapramine' 'Cremin']
 ['Quetiapine' 'Seroquel']]",[['Error']]
38,SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Provisional' INTERSECT SELECT t1.pixels FROM screen_mode AS t1 JOIN phone AS t2 ON t1.Graphics_mode  =  t2.screen_mode WHERE t2.Accreditation_type  =  'Full',SELECT DISTINCT screen_mode FROM phones WHERE accreditation_type = 'full' AND screen_mode IN (     SELECT screen_mode     FROM phones     WHERE accreditation_type = 'Provisional' );,"[['640 × 200']
 ['160 × 256']
 ['320 × 256']]",[['Error']]
39,SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',SELECT DISTINCT country_name FROM players WHERE position = 'forward' AND country_name IN (     SELECT country_name     FROM players     WHERE position = 'defender' ),[['United States']],[['Error']]
40,SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Forward' INTERSECT SELECT T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T2.Position  =  'Defender',SELECT DISTINCT country_name FROM players WHERE position = 'Forward' OR position = 'Defender';,[['United States']],[['Error']]
41,SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Confirmed' INTERSECT SELECT T2.apt_number FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id WHERE T1.booking_status_code  =  'Provisional',SELECT apartment_number FROM bookings WHERE status_code = 'Provisional' AND apartment_number IN (     SELECT apartment_number     FROM bookings     WHERE status_code = 'Confirmed' ),"[['Apt. 859  ']
 ['Suite 693 ']
 ['Suite 749 ']]",[['Error']]
42,"SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  false  
INTERSECT 
SELECT T1.apt_number 
FROM Apartments AS T1 JOIN View_Unit_Status AS T2 ON T1.apt_id  =  T2.apt_id 
WHERE T2.available_yn  =  true",SELECT apartment_number FROM apartments WHERE unit_status = 0 AND unit_status = 1;,"[['Apt. 411  ']
 ['Apt. 837  ']]",[['Error']]
43,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","SELECT id, name FROM stadium WHERE id = (     SELECT stadium_id     FROM accidents     GROUP BY stadium_id     ORDER BY COUNT(*) DESC     LIMIT 1 )",[[10 'Louisiana Superdome']],[['Error']]
44,"SELECT T1.id ,  T1.name FROM stadium AS T1 JOIN game AS T2 ON T1.id  =  T2.stadium_id JOIN injury_accident AS T3 ON T2.id  =  T3.game_id GROUP BY T1.id ORDER BY count(*) DESC LIMIT 1","SELECT id, name FROM stadium WHERE id = (     SELECT stadium_id     FROM accidents     GROUP BY stadium_id     ORDER BY COUNT(*) DESC     LIMIT 1 )",[[10 'Louisiana Superdome']],[['Error']]
45,SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Walter Samuel' INTERSECT SELECT T2.name FROM game AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.id JOIN injury_accident AS T3 ON T1.id  =  T3.game_id WHERE T3.player  =  'Thiago Motta',SELECT stadium_name FROM injuries WHERE player_name = 'Walter Samuel' OR player_name = 'Thiago Motta' GROUP BY stadium_name HAVING COUNT(DISTINCT player_name) = 2;,[['Bank of America Stadium']],[['Error']]
46,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name","SELECT department,         COUNT(DISTINCT CASE WHEN role = 'student' THEN id END) AS total_students,        COUNT(DISTINCT CASE WHEN role = 'instructor' THEN id END) AS total_instructors FROM table_name GROUP BY department;","[[1 2 'Biology']
 [1 4 'Cybernetics']
 [1 4 'English']
 [1 1 'Finance']
 [1 6 'Statistics']]",[['Error']]
47,"SELECT count(DISTINCT T2.id) ,  count(DISTINCT T3.id) ,  T3.dept_name FROM department AS T1 JOIN student AS T2 ON T1.dept_name  =  T2.dept_name JOIN instructor AS T3 ON T1.dept_name  =  T3.dept_name GROUP BY T3.dept_name","SELECT department, COUNT(DISTINCT CASE WHEN role = 'student' THEN id END) AS num_students, COUNT(DISTINCT CASE WHEN role = 'instructor' THEN id END) AS num_instructors FROM table_name GROUP BY department;","[[1 2 'Biology']
 [1 4 'Cybernetics']
 [1 4 'English']
 [1 1 'Finance']
 [1 6 'Statistics']]",[['Error']]
48,"SELECT T2.product_name ,  count(*) FROM Order_items AS T1 JOIN Products AS T2 ON T1.product_id  =  T2.product_id JOIN Orders AS T3 ON T3.order_id  =  T1.order_id GROUP BY T2.product_name","SELECT p.product_name, COUNT(DISTINCT o.customer_id) AS num_customers FROM products p JOIN orders o ON p.product_id = o.product_id GROUP BY p.product_name;","[['TV' 1]
 ['Harry Potter 3' 4]
 ['Harry Potter 2' 1]
 ['Arts' 2]
 ['Learning English' 1]
 ['Harry Potter 4' 1]
 ['Fans' 1]
 ['Chocolate' 1]
 ['Hard Drive' 2]
 ['Beer Menus' 1]]",[['Error']]
49,SELECT T4.name FROM wedding AS T1 JOIN people AS T2 ON T1.male_id  =  T2.people_id JOIN people AS T3 ON T1.female_id  =  T3.people_id JOIN church AS T4 ON T4.church_id  =  T1.church_id WHERE T2.age  >  30 OR T3.age  >  30,SELECT church_name FROM weddings JOIN people ON weddings.person_id = people.id WHERE people.age > 30;,"[['Pure Church of Christ']
 ['Church of Christ (Parrishite)']]",[['Error']]
50,"SELECT T1.theme ,  T2.name FROM exhibition AS T1 JOIN artist AS T2 ON T1.artist_id  =  T2.artist_id WHERE T1.ticket_price  >  (SELECT avg(ticket_price) FROM exhibition)","SELECT artist.name, exhibition.theme FROM artist JOIN exhibition ON artist.id = exhibition.artist_id WHERE exhibition.ticket_price > (SELECT AVG(ticket_price) FROM exhibition)","[['Santa Claus' 'Vijay Singh']
 ['Christmas stocking' 'John Daly']
 ['Spring' 'Nick Price']]",[['Error']]
51,SELECT T3.name FROM exhibition_record AS T1 JOIN exhibition AS T2 ON T1.exhibition_id  =  T2.exhibition_id JOIN artist AS T3 ON T3.artist_id  =  T2.artist_id GROUP BY T3.artist_id HAVING avg(T1.attendance)  >  200,SELECT artist_name FROM exhibitions GROUP BY artist_name HAVING AVG(attendance) > 200;,"[['Jeff Sluman']
 ['Nick Price']
 ['John Daly']
 ['Vijay Singh']]",[['Error']]
52,"SELECT T1.title 
FROM item AS T1 JOIN review AS T2 ON T1.i_id  =  T2.i_id 
WHERE T2.rank  >  3 
INTERSECT 
SELECT T1.title 
FROM item AS T1 JOIN review AS T2 ON T1.i_id  =  T2.i_id 
GROUP BY T1.title 
HAVING avg(T2.rating)  >  5",SELECT name FROM items WHERE rank > 3 AND average_rating > 5;,"[['cup']
 ['comb']]",[['Error']]
53,SELECT T1.name FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  >  (SELECT avg(balance) FROM checking) INTERSECT SELECT T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  <  (SELECT avg(balance) FROM savings),SELECT name FROM accounts WHERE checking_balance > (SELECT AVG(checking_balance) FROM accounts) AND savings_balance < (SELECT AVG(savings_balance) FROM accounts);,"[['Weeks']
 ['Granger']
 ['Brown']]",[['Error']]
54,SELECT T2.balance FROM accounts AS T1 JOIN checking AS T2 ON T1.custid  =  T2.custid WHERE T1.name IN (SELECT T1.name FROM accounts AS T1 JOIN savings AS T2 ON T1.custid  =  T2.custid WHERE T2.balance  >  (SELECT avg(balance) FROM savings)),SELECT checking_balance FROM accounts WHERE savings_balance > (SELECT AVG(savings_balance) FROM accounts),[[2000.]],[['Error']]
